(venv) athul@athul-Lenovo-YOGA-720-13IKB:~/Documents/Codes/AMAT/examples/acta-astronautica/uranus-orbiter-probe$ python3 08-performance-analysis-prd.py
RUN #: 1, SAMPLE #: 110, EFPA: -11.49, SIGMA: -1.41, LD: 0.24, APO : 562018.63
RUN #: 485, SAMPLE #: 108, EFPA: -11.71, SIGMA: -0.72, LD: 0.25, APO : 582127.34
RUN #: 486, SAMPLE #: 147, EFPA: -11.61, SIGMA: 0.83, LD: 0.25, APO : 539974.37
RUN #: 487, SAMPLE #: 119, EFPA: -11.66, SIGMA: -0.32, LD: 0.26, APO : 531587.91
RUN #: 488, SAMPLE #: 113, EFPA: -11.54, SIGMA: -0.77, LD: 0.27, APO : 508879.49
RUN #: 489, SAMPLE #: 173, EFPA: -11.67, SIGMA: -0.05, LD: 0.27, APO : 517068.87
RUN #: 490, SAMPLE #: 48, EFPA: -11.52, SIGMA: 1.76, LD: 0.25, APO : 553250.02
RUN #: 491, SAMPLE #: 25, EFPA: -11.56, SIGMA: 0.49, LD: 0.24, APO : 529931.28
RUN #: 492, SAMPLE #: 178, EFPA: -11.66, SIGMA: 0.44, LD: 0.25, APO : 522581.80
RUN #: 493, SAMPLE #: 1, EFPA: -11.84, SIGMA: -2.52, LD: 0.25, APO : 520421.54
RUN #: 494, SAMPLE #: 161, EFPA: -11.69, SIGMA: -2.12, LD: 0.21, APO : 502448.81
RUN #: 495, SAMPLE #: 139, EFPA: -11.92, SIGMA: -0.64, LD: 0.23, APO : 554742.20
RUN #: 496, SAMPLE #: 56, EFPA: -11.79, SIGMA: 0.22, LD: 0.25, APO : 528698.26
RUN #: 497, SAMPLE #: 11, EFPA: -11.64, SIGMA: 0.39, LD: 0.26, APO : 520340.12
RUN #: 498, SAMPLE #: 139, EFPA: -11.77, SIGMA: -0.57, LD: 0.23, APO : 572512.69
RUN #: 499, SAMPLE #: 138, EFPA: -11.74, SIGMA: -0.90, LD: 0.23, APO : 554919.84
RUN #: 500, SAMPLE #: 185, EFPA: -11.60, SIGMA: -0.18, LD: 0.24, APO : 515737.54
RUN #: 501, SAMPLE #: 164, EFPA: -11.83, SIGMA: 0.82, LD: 0.23, APO : 520763.60
RUN #: 502, SAMPLE #: 32, EFPA: -11.72, SIGMA: -0.76, LD: 0.23, APO : 525064.38
RUN #: 503, SAMPLE #: 117, EFPA: -11.79, SIGMA: 0.43, LD: 0.24, APO : 541018.81
RUN #: 504, SAMPLE #: 38, EFPA: -11.78, SIGMA: -0.39, LD: 0.25, APO : 540913.89
RUN #: 505, SAMPLE #: 43, EFPA: -11.56, SIGMA: 0.33, LD: 0.23, APO : 460790.39
RUN #: 506, SAMPLE #: 36, EFPA: -11.71, SIGMA: -0.36, LD: 0.23, APO : 546133.50
RUN #: 507, SAMPLE #: 12, EFPA: -11.84, SIGMA: -1.32, LD: 0.25, APO : 497022.29
RUN #: 508, SAMPLE #: 195, EFPA: -11.80, SIGMA: 1.12, LD: 0.21, APO : 511155.89
RUN #: 509, SAMPLE #: 30, EFPA: -11.66, SIGMA: 1.44, LD: 0.23, APO : 520108.05
RUN #: 510, SAMPLE #: 110, EFPA: -11.78, SIGMA: 0.40, LD: 0.25, APO : 530895.47
RUN #: 511, SAMPLE #: 51, EFPA: -11.61, SIGMA: 0.24, LD: 0.23, APO : 502316.72
RUN #: 512, SAMPLE #: 190, EFPA: -11.78, SIGMA: 0.01, LD: 0.23, APO : 566302.81
RUN #: 513, SAMPLE #: 66, EFPA: -11.68, SIGMA: 0.41, LD: 0.24, APO : 543327.62
RUN #: 514, SAMPLE #: 139, EFPA: -11.43, SIGMA: -0.61, LD: 0.22, APO : 566128.72
RUN #: 515, SAMPLE #: 28, EFPA: -11.67, SIGMA: -0.36, LD: 0.23, APO : 536918.30
RUN #: 516, SAMPLE #: 181, EFPA: -11.66, SIGMA: 1.22, LD: 0.25, APO : 575005.55
RUN #: 517, SAMPLE #: 48, EFPA: -11.74, SIGMA: -0.15, LD: 0.23, APO : 495867.71
RUN #: 518, SAMPLE #: 62, EFPA: -11.66, SIGMA: 0.31, LD: 0.23, APO : 536608.12
RUN #: 519, SAMPLE #: 52, EFPA: -11.72, SIGMA: 0.64, LD: 0.25, APO : 593542.13
RUN #: 520, SAMPLE #: 8, EFPA: -11.66, SIGMA: 0.16, LD: 0.23, APO : 500735.64
RUN #: 521, SAMPLE #: 27, EFPA: -11.71, SIGMA: -0.60, LD: 0.23, APO : 528199.79
RUN #: 522, SAMPLE #: 198, EFPA: -11.64, SIGMA: -0.08, LD: 0.24, APO : 539735.79
RUN #: 523, SAMPLE #: 78, EFPA: -11.96, SIGMA: -1.62, LD: 0.22, APO : 584379.93
RUN #: 524, SAMPLE #: 159, EFPA: -11.94, SIGMA: 1.20, LD: 0.23, APO : 327574.86
RUN #: 525, SAMPLE #: 184, EFPA: -11.75, SIGMA: 0.50, LD: 0.22, APO : 528395.11
RUN #: 526, SAMPLE #: 150, EFPA: -11.66, SIGMA: -0.72, LD: 0.25, APO : 526898.73
RUN #: 527, SAMPLE #: 83, EFPA: -11.75, SIGMA: 0.56, LD: 0.25, APO : 523851.02
RUN #: 528, SAMPLE #: 66, EFPA: -11.79, SIGMA: -0.53, LD: 0.23, APO : 521831.85
RUN #: 529, SAMPLE #: 52, EFPA: -11.59, SIGMA: -0.76, LD: 0.24, APO : 536537.51
RUN #: 530, SAMPLE #: 38, EFPA: -11.89, SIGMA: 1.19, LD: 0.23, APO : 502520.27
RUN #: 531, SAMPLE #: 83, EFPA: -11.63, SIGMA: 0.04, LD: 0.24, APO : 520847.52
RUN #: 532, SAMPLE #: 69, EFPA: -11.65, SIGMA: 0.70, LD: 0.25, APO : 549518.75
RUN #: 533, SAMPLE #: 2, EFPA: -11.72, SIGMA: -0.45, LD: 0.25, APO : 524552.44
RUN #: 534, SAMPLE #: 190, EFPA: -11.51, SIGMA: 0.45, LD: 0.25, APO : 563570.93
RUN #: 535, SAMPLE #: 170, EFPA: -11.71, SIGMA: 0.18, LD: 0.25, APO : 487795.89
RUN #: 536, SAMPLE #: 15, EFPA: -11.97, SIGMA: 0.55, LD: 0.24, APO : 404099.73
RUN #: 537, SAMPLE #: 17, EFPA: -11.54, SIGMA: -0.03, LD: 0.22, APO : 556142.72
RUN #: 538, SAMPLE #: 96, EFPA: -11.63, SIGMA: -0.10, LD: 0.23, APO : 503060.94
RUN #: 539, SAMPLE #: 141, EFPA: -11.71, SIGMA: -0.83, LD: 0.23, APO : 533193.29
RUN #: 540, SAMPLE #: 76, EFPA: -11.68, SIGMA: 0.17, LD: 0.26, APO : 516374.43
RUN #: 541, SAMPLE #: 108, EFPA: -11.72, SIGMA: 0.49, LD: 0.23, APO : 590286.08
RUN #: 542, SAMPLE #: 158, EFPA: -11.78, SIGMA: 0.99, LD: 0.25, APO : 508392.52
RUN #: 543, SAMPLE #: 116, EFPA: -11.59, SIGMA: 1.01, LD: 0.24, APO : 536546.21
RUN #: 544, SAMPLE #: 101, EFPA: -11.49, SIGMA: 0.49, LD: 0.26, APO : 520128.37
RUN #: 545, SAMPLE #: 64, EFPA: -11.59, SIGMA: -0.84, LD: 0.25, APO : 548677.26
RUN #: 546, SAMPLE #: 10, EFPA: -11.72, SIGMA: 0.82, LD: 0.24, APO : 521257.91
RUN #: 547, SAMPLE #: 91, EFPA: -11.63, SIGMA: 0.76, LD: 0.23, APO : 514034.81
RUN #: 548, SAMPLE #: 47, EFPA: -11.68, SIGMA: 2.05, LD: 0.23, APO : 535622.69
RUN #: 549, SAMPLE #: 89, EFPA: -11.52, SIGMA: -0.31, LD: 0.24, APO : 570795.02
RUN #: 550, SAMPLE #: 22, EFPA: -11.62, SIGMA: 1.38, LD: 0.22, APO : 514194.42
RUN #: 551, SAMPLE #: 11, EFPA: -11.67, SIGMA: 1.97, LD: 0.24, APO : 547611.00
RUN #: 552, SAMPLE #: 184, EFPA: -11.92, SIGMA: 0.70, LD: 0.25, APO : 528981.14
RUN #: 553, SAMPLE #: 45, EFPA: -11.63, SIGMA: 0.97, LD: 0.24, APO : 500009.97
RUN #: 554, SAMPLE #: 192, EFPA: -11.60, SIGMA: -1.99, LD: 0.24, APO : 551282.25
RUN #: 555, SAMPLE #: 129, EFPA: -11.68, SIGMA: -0.61, LD: 0.22, APO : 471820.09
RUN #: 556, SAMPLE #: 63, EFPA: -11.78, SIGMA: 1.26, LD: 0.23, APO : 512864.45
RUN #: 557, SAMPLE #: 146, EFPA: -11.86, SIGMA: -1.53, LD: 0.24, APO : 533729.72
RUN #: 558, SAMPLE #: 165, EFPA: -11.85, SIGMA: 0.33, LD: 0.23, APO : 507840.37
RUN #: 559, SAMPLE #: 5, EFPA: -11.65, SIGMA: -0.81, LD: 0.27, APO : 483674.94
RUN #: 560, SAMPLE #: 35, EFPA: -11.58, SIGMA: 0.38, LD: 0.24, APO : 500296.04
RUN #: 561, SAMPLE #: 77, EFPA: -11.63, SIGMA: 0.81, LD: 0.23, APO : 477678.60
RUN #: 562, SAMPLE #: 136, EFPA: -11.55, SIGMA: -0.78, LD: 0.25, APO : 493576.57
RUN #: 563, SAMPLE #: 195, EFPA: -11.90, SIGMA: 0.25, LD: 0.22, APO : 541359.49
RUN #: 564, SAMPLE #: 173, EFPA: -11.92, SIGMA: 0.73, LD: 0.23, APO : 524428.35
RUN #: 565, SAMPLE #: 18, EFPA: -11.58, SIGMA: 0.17, LD: 0.24, APO : 514198.32
RUN #: 566, SAMPLE #: 131, EFPA: -11.48, SIGMA: 0.62, LD: 0.24, APO : 528611.95
RUN #: 567, SAMPLE #: 157, EFPA: -11.71, SIGMA: 0.51, LD: 0.23, APO : 581011.10
RUN #: 568, SAMPLE #: 100, EFPA: -11.53, SIGMA: 0.52, LD: 0.24, APO : 571072.16
RUN #: 569, SAMPLE #: 140, EFPA: -11.73, SIGMA: 0.32, LD: 0.23, APO : 564694.01
RUN #: 570, SAMPLE #: 149, EFPA: -11.62, SIGMA: -0.37, LD: 0.23, APO : 513339.06
RUN #: 571, SAMPLE #: 189, EFPA: -11.57, SIGMA: -1.83, LD: 0.25, APO : 514362.65
RUN #: 572, SAMPLE #: 131, EFPA: -11.78, SIGMA: -1.13, LD: 0.23, APO : 491443.67
RUN #: 573, SAMPLE #: 13, EFPA: -11.73, SIGMA: -1.08, LD: 0.26, APO : 530985.33
RUN #: 574, SAMPLE #: 72, EFPA: -11.72, SIGMA: -1.83, LD: 0.22, APO : 550172.60
RUN #: 575, SAMPLE #: 187, EFPA: -11.65, SIGMA: -0.27, LD: 0.25, APO : 549348.75
RUN #: 576, SAMPLE #: 146, EFPA: -11.59, SIGMA: -0.47, LD: 0.24, APO : 524394.25
RUN #: 577, SAMPLE #: 145, EFPA: -11.76, SIGMA: -0.03, LD: 0.23, APO : 546692.61
RUN #: 578, SAMPLE #: 96, EFPA: -11.78, SIGMA: 2.24, LD: 0.24, APO : 488194.03
RUN #: 579, SAMPLE #: 172, EFPA: -11.93, SIGMA: 0.43, LD: 0.24, APO : 579790.72
RUN #: 580, SAMPLE #: 130, EFPA: -11.88, SIGMA: 0.15, LD: 0.26, APO : 538837.40
RUN #: 581, SAMPLE #: 156, EFPA: -11.83, SIGMA: -1.45, LD: 0.22, APO : 547168.81
RUN #: 582, SAMPLE #: 129, EFPA: -11.72, SIGMA: -2.17, LD: 0.24, APO : 516601.85
RUN #: 583, SAMPLE #: 161, EFPA: -11.49, SIGMA: 0.87, LD: 0.22, APO : 540117.17
RUN #: 584, SAMPLE #: 86, EFPA: -11.73, SIGMA: -0.91, LD: 0.26, APO : 547973.94
RUN #: 585, SAMPLE #: 48, EFPA: -11.78, SIGMA: -0.73, LD: 0.24, APO : 520735.51
RUN #: 586, SAMPLE #: 120, EFPA: -11.70, SIGMA: -0.10, LD: 0.23, APO : 547777.09
RUN #: 587, SAMPLE #: 176, EFPA: -11.64, SIGMA: -0.32, LD: 0.25, APO : 546740.55
RUN #: 588, SAMPLE #: 107, EFPA: -11.59, SIGMA: -0.60, LD: 0.23, APO : 524218.47
RUN #: 589, SAMPLE #: 120, EFPA: -11.74, SIGMA: 0.78, LD: 0.25, APO : 525179.03
RUN #: 590, SAMPLE #: 26, EFPA: -11.82, SIGMA: 0.70, LD: 0.22, APO : 483662.41
RUN #: 591, SAMPLE #: 58, EFPA: -11.89, SIGMA: -1.01, LD: 0.22, APO : 513275.18
RUN #: 592, SAMPLE #: 151, EFPA: -11.66, SIGMA: -0.19, LD: 0.25, APO : 538874.32
RUN #: 593, SAMPLE #: 35, EFPA: -11.71, SIGMA: -2.32, LD: 0.24, APO : 510164.10
RUN #: 594, SAMPLE #: 31, EFPA: -11.61, SIGMA: 2.26, LD: 0.22, APO : 542734.50
RUN #: 595, SAMPLE #: 63, EFPA: -11.52, SIGMA: 1.65, LD: 0.23, APO : 546253.00
RUN #: 596, SAMPLE #: 107, EFPA: -11.75, SIGMA: -0.61, LD: 0.23, APO : 586591.05
RUN #: 597, SAMPLE #: 153, EFPA: -11.59, SIGMA: 0.07, LD: 0.25, APO : 526683.72
RUN #: 598, SAMPLE #: 183, EFPA: -11.65, SIGMA: -0.40, LD: 0.22, APO : 524736.47
RUN #: 599, SAMPLE #: 24, EFPA: -11.75, SIGMA: 0.30, LD: 0.26, APO : 499693.96
RUN #: 600, SAMPLE #: 94, EFPA: -11.78, SIGMA: -0.50, LD: 0.24, APO : 532577.43
RUN #: 601, SAMPLE #: 105, EFPA: -11.65, SIGMA: 0.25, LD: 0.26, APO : 485992.04
RUN #: 602, SAMPLE #: 37, EFPA: -11.71, SIGMA: -0.06, LD: 0.24, APO : 473742.83
RUN #: 603, SAMPLE #: 44, EFPA: -11.65, SIGMA: -0.38, LD: 0.23, APO : 548013.21
RUN #: 604, SAMPLE #: 159, EFPA: -11.76, SIGMA: 0.04, LD: 0.25, APO : 550815.24
RUN #: 605, SAMPLE #: 3, EFPA: -11.72, SIGMA: -0.59, LD: 0.25, APO : 531363.13
RUN #: 606, SAMPLE #: 42, EFPA: -11.86, SIGMA: 0.32, LD: 0.23, APO : 510718.17
RUN #: 607, SAMPLE #: 44, EFPA: -11.65, SIGMA: -0.13, LD: 0.24, APO : 541132.69
RUN #: 608, SAMPLE #: 190, EFPA: -11.70, SIGMA: 0.94, LD: 0.25, APO : 489562.99
RUN #: 609, SAMPLE #: 144, EFPA: -11.69, SIGMA: 0.16, LD: 0.23, APO : 576104.54
RUN #: 610, SAMPLE #: 173, EFPA: -11.81, SIGMA: -0.51, LD: 0.23, APO : 520006.64
RUN #: 611, SAMPLE #: 143, EFPA: -11.70, SIGMA: 0.94, LD: 0.23, APO : 495621.95
RUN #: 612, SAMPLE #: 42, EFPA: -11.71, SIGMA: 0.73, LD: 0.25, APO : 512151.72
RUN #: 613, SAMPLE #: 160, EFPA: -11.69, SIGMA: -1.03, LD: 0.26, APO : 503497.89
RUN #: 614, SAMPLE #: 40, EFPA: -11.64, SIGMA: 0.36, LD: 0.25, APO : 492635.54
RUN #: 615, SAMPLE #: 155, EFPA: -11.85, SIGMA: -1.30, LD: 0.25, APO : 501255.86
RUN #: 616, SAMPLE #: 115, EFPA: -11.64, SIGMA: 0.12, LD: 0.25, APO : 510509.99
RUN #: 617, SAMPLE #: 41, EFPA: -11.80, SIGMA: -0.15, LD: 0.23, APO : 493981.79
RUN #: 618, SAMPLE #: 118, EFPA: -11.64, SIGMA: 0.01, LD: 0.22, APO : 523617.54
RUN #: 619, SAMPLE #: 66, EFPA: -11.72, SIGMA: -1.30, LD: 0.24, APO : 576357.06
RUN #: 620, SAMPLE #: 110, EFPA: -11.72, SIGMA: 0.15, LD: 0.23, APO : 531817.73
RUN #: 621, SAMPLE #: 128, EFPA: -11.86, SIGMA: -0.77, LD: 0.23, APO : 568433.53
RUN #: 622, SAMPLE #: 146, EFPA: -11.54, SIGMA: 1.35, LD: 0.25, APO : 507514.10
RUN #: 623, SAMPLE #: 193, EFPA: -11.73, SIGMA: -0.75, LD: 0.24, APO : 514068.84
RUN #: 624, SAMPLE #: 162, EFPA: -11.81, SIGMA: 0.58, LD: 0.25, APO : 519867.74
RUN #: 625, SAMPLE #: 107, EFPA: -11.74, SIGMA: 2.36, LD: 0.25, APO : 550807.58
RUN #: 626, SAMPLE #: 24, EFPA: -11.69, SIGMA: -1.44, LD: 0.24, APO : 496064.39
RUN #: 627, SAMPLE #: 142, EFPA: -11.68, SIGMA: 0.31, LD: 0.25, APO : 546907.99
RUN #: 628, SAMPLE #: 120, EFPA: -11.60, SIGMA: -1.34, LD: 0.24, APO : 502207.38
RUN #: 629, SAMPLE #: 177, EFPA: -11.60, SIGMA: 1.34, LD: 0.24, APO : 532936.24
RUN #: 630, SAMPLE #: 109, EFPA: -11.86, SIGMA: -2.14, LD: 0.24, APO : 511616.85
RUN #: 631, SAMPLE #: 46, EFPA: -11.75, SIGMA: -0.86, LD: 0.22, APO : 506903.78
RUN #: 632, SAMPLE #: 42, EFPA: -11.75, SIGMA: -0.58, LD: 0.25, APO : 511429.40
RUN #: 633, SAMPLE #: 150, EFPA: -11.57, SIGMA: -0.61, LD: 0.24, APO : 475773.34
RUN #: 634, SAMPLE #: 124, EFPA: -11.78, SIGMA: -1.02, LD: 0.25, APO : 558899.46
RUN #: 635, SAMPLE #: 104, EFPA: -11.77, SIGMA: -1.33, LD: 0.23, APO : 502673.20
RUN #: 636, SAMPLE #: 183, EFPA: -11.70, SIGMA: -1.29, LD: 0.22, APO : 546629.52
RUN #: 637, SAMPLE #: 4, EFPA: -11.77, SIGMA: -0.24, LD: 0.24, APO : 524035.25
RUN #: 638, SAMPLE #: 173, EFPA: -11.74, SIGMA: -0.55, LD: 0.26, APO : 545374.15
RUN #: 639, SAMPLE #: 27, EFPA: -11.60, SIGMA: 0.11, LD: 0.25, APO : 497317.29
RUN #: 640, SAMPLE #: 95, EFPA: -11.73, SIGMA: 0.47, LD: 0.25, APO : 503060.75
RUN #: 641, SAMPLE #: 10, EFPA: -11.69, SIGMA: -1.47, LD: 0.22, APO : 544278.15
RUN #: 642, SAMPLE #: 140, EFPA: -11.82, SIGMA: 0.56, LD: 0.23, APO : 473000.22
RUN #: 643, SAMPLE #: 179, EFPA: -11.58, SIGMA: -1.16, LD: 0.23, APO : 540283.24
RUN #: 644, SAMPLE #: 14, EFPA: -11.80, SIGMA: 2.24, LD: 0.23, APO : 536644.82
RUN #: 645, SAMPLE #: 111, EFPA: -11.73, SIGMA: -0.36, LD: 0.24, APO : 590052.76
RUN #: 646, SAMPLE #: 17, EFPA: -11.75, SIGMA: 1.51, LD: 0.26, APO : 487317.88
RUN #: 647, SAMPLE #: 188, EFPA: -11.59, SIGMA: -0.77, LD: 0.24, APO : 520269.47
RUN #: 648, SAMPLE #: 112, EFPA: -11.65, SIGMA: 1.23, LD: 0.22, APO : 521448.48
RUN #: 649, SAMPLE #: 117, EFPA: -11.57, SIGMA: -0.50, LD: 0.24, APO : 536675.42
RUN #: 650, SAMPLE #: 45, EFPA: -11.68, SIGMA: 1.38, LD: 0.25, APO : 527185.18
RUN #: 651, SAMPLE #: 58, EFPA: -11.67, SIGMA: -0.68, LD: 0.23, APO : 492632.66
RUN #: 652, SAMPLE #: 78, EFPA: -11.59, SIGMA: 0.23, LD: 0.25, APO : 541683.36
RUN #: 653, SAMPLE #: 78, EFPA: -11.59, SIGMA: 0.97, LD: 0.24, APO : 515150.10
RUN #: 654, SAMPLE #: 113, EFPA: -11.77, SIGMA: -0.46, LD: 0.25, APO : 540478.67
RUN #: 655, SAMPLE #: 92, EFPA: -11.71, SIGMA: 0.31, LD: 0.22, APO : 494785.76
RUN #: 656, SAMPLE #: 151, EFPA: -11.69, SIGMA: 1.78, LD: 0.23, APO : 524039.21
RUN #: 657, SAMPLE #: 42, EFPA: -11.75, SIGMA: 0.27, LD: 0.23, APO : 502494.94
RUN #: 658, SAMPLE #: 144, EFPA: -11.56, SIGMA: 1.47, LD: 0.25, APO : 530730.38
RUN #: 659, SAMPLE #: 74, EFPA: -11.90, SIGMA: 0.62, LD: 0.22, APO : 567663.64
RUN #: 660, SAMPLE #: 158, EFPA: -11.64, SIGMA: -0.52, LD: 0.24, APO : 506549.46
RUN #: 661, SAMPLE #: 150, EFPA: -11.66, SIGMA: -1.52, LD: 0.23, APO : 504540.18
RUN #: 662, SAMPLE #: 64, EFPA: -11.61, SIGMA: 0.84, LD: 0.24, APO : 521104.37
RUN #: 663, SAMPLE #: 1, EFPA: -11.58, SIGMA: 0.35, LD: 0.24, APO : 553075.52
RUN #: 664, SAMPLE #: 26, EFPA: -11.68, SIGMA: -0.41, LD: 0.23, APO : 527260.78
RUN #: 665, SAMPLE #: 188, EFPA: -11.73, SIGMA: 0.61, LD: 0.24, APO : 542881.26
RUN #: 666, SAMPLE #: 25, EFPA: -11.75, SIGMA: 0.17, LD: 0.23, APO : 502091.19
RUN #: 667, SAMPLE #: 125, EFPA: -11.61, SIGMA: -0.64, LD: 0.25, APO : 531858.61
RUN #: 668, SAMPLE #: 73, EFPA: -11.73, SIGMA: 1.22, LD: 0.24, APO : 510726.59
RUN #: 669, SAMPLE #: 147, EFPA: -11.69, SIGMA: -0.56, LD: 0.22, APO : 512546.24
RUN #: 670, SAMPLE #: 52, EFPA: -11.72, SIGMA: -0.28, LD: 0.24, APO : 490521.35
RUN #: 671, SAMPLE #: 84, EFPA: -11.92, SIGMA: 0.19, LD: 0.24, APO : 552660.19
RUN #: 672, SAMPLE #: 12, EFPA: -11.64, SIGMA: -1.05, LD: 0.23, APO : 512753.27
RUN #: 673, SAMPLE #: 25, EFPA: -11.89, SIGMA: 1.56, LD: 0.23, APO : 605137.70
RUN #: 674, SAMPLE #: 169, EFPA: -11.48, SIGMA: -0.43, LD: 0.26, APO : 507127.45
RUN #: 675, SAMPLE #: 160, EFPA: -11.71, SIGMA: 1.11, LD: 0.24, APO : 500664.21
RUN #: 676, SAMPLE #: 90, EFPA: -11.73, SIGMA: 0.32, LD: 0.26, APO : 565474.97
RUN #: 677, SAMPLE #: 22, EFPA: -11.66, SIGMA: 0.41, LD: 0.25, APO : 508607.99
RUN #: 678, SAMPLE #: 152, EFPA: -11.77, SIGMA: -0.80, LD: 0.23, APO : 554197.83
RUN #: 679, SAMPLE #: 14, EFPA: -11.77, SIGMA: 0.49, LD: 0.25, APO : 508935.78
RUN #: 680, SAMPLE #: 40, EFPA: -11.63, SIGMA: 0.74, LD: 0.22, APO : 518067.87
RUN #: 681, SAMPLE #: 170, EFPA: -11.74, SIGMA: -0.83, LD: 0.24, APO : 617693.24
RUN #: 682, SAMPLE #: 128, EFPA: -11.60, SIGMA: 1.42, LD: 0.25, APO : 535194.39
RUN #: 683, SAMPLE #: 169, EFPA: -11.68, SIGMA: -0.21, LD: 0.26, APO : 529933.04
RUN #: 684, SAMPLE #: 9, EFPA: -11.72, SIGMA: 2.16, LD: 0.24, APO : 550329.82
RUN #: 685, SAMPLE #: 20, EFPA: -11.54, SIGMA: 0.52, LD: 0.24, APO : 512134.62
RUN #: 686, SAMPLE #: 24, EFPA: -11.82, SIGMA: 0.47, LD: 0.25, APO : 569292.55
RUN #: 687, SAMPLE #: 198, EFPA: -11.68, SIGMA: 1.03, LD: 0.24, APO : 548226.47
RUN #: 688, SAMPLE #: 63, EFPA: -11.52, SIGMA: 0.42, LD: 0.24, APO : 516162.69
RUN #: 689, SAMPLE #: 49, EFPA: -11.76, SIGMA: -0.62, LD: 0.24, APO : 543128.68
RUN #: 690, SAMPLE #: 165, EFPA: -11.80, SIGMA: -0.39, LD: 0.25, APO : 513671.19
RUN #: 691, SAMPLE #: 93, EFPA: -11.76, SIGMA: -0.68, LD: 0.25, APO : 534130.42
RUN #: 692, SAMPLE #: 44, EFPA: -11.72, SIGMA: 0.24, LD: 0.23, APO : 547927.49
RUN #: 693, SAMPLE #: 173, EFPA: -11.63, SIGMA: 0.95, LD: 0.22, APO : 547381.27
RUN #: 694, SAMPLE #: 87, EFPA: -11.75, SIGMA: 0.03, LD: 0.24, APO : 538486.03
RUN #: 695, SAMPLE #: 110, EFPA: -11.52, SIGMA: -1.61, LD: 0.26, APO : 547442.35
RUN #: 696, SAMPLE #: 99, EFPA: -11.71, SIGMA: -1.51, LD: 0.25, APO : 510973.29
RUN #: 697, SAMPLE #: 61, EFPA: -11.79, SIGMA: 0.20, LD: 0.25, APO : 517405.08
RUN #: 698, SAMPLE #: 173, EFPA: -11.63, SIGMA: 0.05, LD: 0.22, APO : 529201.91
RUN #: 699, SAMPLE #: 72, EFPA: -11.61, SIGMA: -0.58, LD: 0.24, APO : 583155.50
RUN #: 700, SAMPLE #: 93, EFPA: -11.74, SIGMA: 1.42, LD: 0.26, APO : 523185.54
RUN #: 701, SAMPLE #: 192, EFPA: -11.76, SIGMA: -0.16, LD: 0.25, APO : 538057.16
RUN #: 702, SAMPLE #: 157, EFPA: -11.54, SIGMA: -1.07, LD: 0.24, APO : 509295.24
RUN #: 703, SAMPLE #: 36, EFPA: -11.80, SIGMA: -0.19, LD: 0.24, APO : 501140.51
RUN #: 704, SAMPLE #: 10, EFPA: -11.78, SIGMA: 0.27, LD: 0.23, APO : 515138.43
RUN #: 705, SAMPLE #: 182, EFPA: -11.50, SIGMA: -1.41, LD: 0.24, APO : 560807.74
RUN #: 706, SAMPLE #: 21, EFPA: -11.68, SIGMA: 2.02, LD: 0.24, APO : 489997.29
RUN #: 707, SAMPLE #: 177, EFPA: -11.63, SIGMA: 2.11, LD: 0.25, APO : 524720.88
RUN #: 708, SAMPLE #: 74, EFPA: -11.52, SIGMA: -0.49, LD: 0.26, APO : 531318.03
RUN #: 709, SAMPLE #: 62, EFPA: -11.69, SIGMA: 1.78, LD: 0.24, APO : 524495.92
RUN #: 710, SAMPLE #: 78, EFPA: -11.43, SIGMA: 0.63, LD: 0.26, APO : 561865.20
RUN #: 711, SAMPLE #: 173, EFPA: -11.67, SIGMA: 1.06, LD: 0.22, APO : 534077.07
RUN #: 712, SAMPLE #: 8, EFPA: -11.88, SIGMA: -0.29, LD: 0.25, APO : 544854.26
RUN #: 713, SAMPLE #: 118, EFPA: -11.48, SIGMA: 1.41, LD: 0.26, APO : 526734.51
RUN #: 714, SAMPLE #: 192, EFPA: -11.73, SIGMA: -2.41, LD: 0.20, APO : 612607.84
RUN #: 715, SAMPLE #: 87, EFPA: -11.72, SIGMA: 0.65, LD: 0.24, APO : 552827.07
RUN #: 716, SAMPLE #: 163, EFPA: -11.75, SIGMA: 0.04, LD: 0.25, APO : 515151.89
RUN #: 717, SAMPLE #: 110, EFPA: -11.74, SIGMA: -0.30, LD: 0.26, APO : 535795.18
RUN #: 718, SAMPLE #: 51, EFPA: -11.72, SIGMA: -0.91, LD: 0.23, APO : 467155.33
RUN #: 719, SAMPLE #: 60, EFPA: -11.55, SIGMA: 0.93, LD: 0.24, APO : 581707.34
RUN #: 720, SAMPLE #: 101, EFPA: -11.79, SIGMA: 0.76, LD: 0.25, APO : 537034.26
RUN #: 721, SAMPLE #: 165, EFPA: -11.69, SIGMA: -0.44, LD: 0.24, APO : 556741.67
RUN #: 722, SAMPLE #: 3, EFPA: -11.70, SIGMA: 1.14, LD: 0.22, APO : 577109.58
RUN #: 723, SAMPLE #: 9, EFPA: -11.72, SIGMA: 1.43, LD: 0.25, APO : 564947.10
RUN #: 724, SAMPLE #: 79, EFPA: -11.59, SIGMA: 0.55, LD: 0.24, APO : 520381.10
RUN #: 725, SAMPLE #: 48, EFPA: -11.74, SIGMA: 3.02, LD: 0.25, APO : 548767.52
RUN #: 726, SAMPLE #: 125, EFPA: -11.78, SIGMA: -0.93, LD: 0.23, APO : 482414.97
RUN #: 727, SAMPLE #: 129, EFPA: -11.77, SIGMA: -1.52, LD: 0.23, APO : 556212.39
