ID,Author(s),Title,Year,Type,Journal / Conference / Report,Publisher,Country of Origin,Targets,Target Class,Author Affiliation,Funding Organization,Copy of previous
288,T. R. Spilker,Qualitative Assessment of Aerocapture and Applications to Future Missions,2018,Journal,Journal of Spacecraft and Rockets,AIAA,USA,"Venus, Earth, Mars, Titan, Neptune",Generic,Jet Propulsion Lab,NASA,Y
289,A. Nelessen,SmallSat Aerocapture for Increased Mass Delivered to Venus and Beyond,2018,Conference,International Planetary Probe Workshop,IPPW,USA,Venus,Venus,Jet Propulsion Lab,NASA,N
290,R. Beck,Studies in Support of Venus Aerocapture Utilizing Drag Modulation,2018,Conference,International Planetary Probe Workshop,IPPW,USA,Venus,Venus,NASA Ames Research Center,NASA,N
291,A. Korzun,Supersonic Aerodynamic Characteristics of Blunt Body Trim Tab Configurations,2018,Conference,Technical Report,NASA,USA,Mars,Mars,NASA Langley Research Center,NASA,N
292,A. Pradeepkumar Girija,hybrid aerocapture using low l/d aeroshells for ice giant missions,2018,Conference,International Planetary Probe Workshop,IPPW,USA,Neptune,Neptune,Purdue University,NASA,N
293,A. Pradeepkumar Girija,Feasibility and Mass-Benefit of Aerocapture for SmallSat Missions to Venus,2018,Conference,VEXAG,VEXAG,USA,Venus,Venus,Purdue University,NA,N
294,A. Pradeepkumar Girija,Aerocapture Performance Analysis for a Neptune Mission Using a Heritage Blunt-Body Aeroshell,2019,Conference,Astrodynamics Specialist Conference,AAS,USA,Neptune,Neptune,Purdue University,NASA / JPL,N
295,C. Zilong,Analysis and Optimization of Lunar Exploration Architecture ,2019,Journal,Journal of Spacecraft and Rockets,AIAA,China,Earth,Earth,China Astronaut Research and Training Center,NA,N
296,G. Falcone,Assessment of Aerocapture for Orbit Insertionof Small Satellites at Mars,2019,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,University of Illinois,NA,N
297,A. Pradeepkumar Girija,A Unified Framework for Aerocapture Systems Analysis - Athul,2019,Conference,Astrodynamics Specialist Conference,AAS,USA,"Uranus, Neptune",Uranus,Purdue University,NA,N
298,K. L. Barad,Computationally Efficient Suboptimal Guidance for Aerocapture,2019,Conference,AIAA SciTech,AIAA,India,Mars,Mars,"Indian Institute of Technology, Kanpur",NA,N
299,M. Werner,Mission Design and Performance Analysis of a Smallsat Aerocapture Flight Test,2019,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Earth,Earth,Georgia Institute of Technology,NASA,N
300,E. Roelke,Single-stage Drag Modulated GNC Performance for Venus Aerocapture Demonstration,2019,Conference,AIAA SciTech,AIAA,USA,Venus,Venus,"University of Colorado, Boulder",NASA / JPL,N
301,A. Austin,SmallSat Aerocapture to Enable a New Paradigm of Planetary Missions,2019,Conference,IEEE Aerospace Conference,IEEE,USA,Venus,Venus,Jet Propulsion Lab,NASA / JPL,N
302,J. Engelsma,Aerocapture Mission Analysis,2020,Conference,AIAA SciTech,AIAA,Netherlands,Mars,Mars,Delft University of Technology,NA,N
303,C. Heidrich,Aerocapture Trajectory Design in Uncertain Entry Environments,2020,Conference,AIAA SciTech,AIAA,USA,Neptune,Neptune,"University of Colorado, Boulder",NA,N
304,A. Rollock,Analysis of Hypersonic Tip-Off Rates for Venus Aerocapture,2020,Conference,AIAA SciTech,AIAA,USA,Venus,Venus,"University of Colorado, Boulder",NASA / JPL,N
305,R. G. Deshmukh,Computationally Efficient Suboptimal Guidance for Aerocapture,2020,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,Purdue University,NA,N
306,S. W. Albert,Conceptual Development of AeroDrop Aerocapture and Direct Entry,2020,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,"University of Colorado, Boulder",NA,N
307,D. A. Matz,Development of a Numeric Predictor-Corrector Aerocapture Guidance for Direct Force Control ,2020,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
308,A. Pradeepkumar Girija,Feasibility and Mass-Benefit Analysis of Aerocapture for Missions to Venus,2020,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Venus,Venus,Purdue University,NA,N
309,A. Pradeepkumar Girija,Feasibility and Performance Analysis of Neptune Aerocapture Using Heritage Blunt-Body Aeroshells,2020,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Neptune,Neptune,Purdue University,NA,N
310,E. Roelke,Multi-Event Drag Modulation Aerocapture Guidance under Uncertainty,2020,Conference,American Astronautical Society,AAS,USA,Venus,Venus,"University of Colorado, Boulder",MIT,N
311,S. Dutta,Aerocapture as an Enhancing Option for Ice Giants Missions ,2021,Journal,Bulletin of the American Astronomical Society,AAS,USA,"Uranus, Neptune",Uranus,NASA Langley Research Center,NA,N
312,S. Saikia,Aerocapture Assessment for NASA Ice Giants Pre-Decadal Survey Mission Study,2021,Journal,Journal of Spacecraft and Rockets,AIAA,USA,"Uranus, Neptune",Uranus,Purdue University,NASA,N
313,Charles L. Kelly,"Performance and Design Scaling of Magnetoshells for
Outer Planet Drag-Modulated Plasma Aerocapture",2021,Conference,IEEE Aerospace Conference,IEEE,USA,Neptune,Neptune,University of Washington,NASA,N
314,A. Pradeepkumar Girija,A Python package for rapid conceptual design of aerocapture missions ,2021,Journal,Journal of Open Source Software,JOSS,USA,Generic,Generic,Purdue University,NA,N
315,Oswaldo,Ballistic Aerocapture for SmallSat: A Case Study for Venus Atmospheric Sampling Probe - Oswaldo,2021,Conference,Small Satellite Conference,NA,USA,Venus,Venus,Kent State University,NA,N
316,R. G. Deshmukh,"SYSTEM ANALYSIS OF A NUMERICAL
PREDICTOR-CORRECTOR AEROCAPTURE GUIDANCE
ARCHITECTURE",2021,Thesis,PhD Thesis,Purdue University,USA,"Venus, Earth, Mars, Titan, Neptune",Generic,Purdue University,NA,N
317,A. Austin,Enabling and Enhancing Science Exploration Across the Solar System: Aerocapture Technology for SmallSat to Flagship Mission,2021,Journal,Bulletin of the American Astronomical Society,AAS,USA,"Venus, Earth, Mars",Generic,Jet Propulsion Lab,NASA,N
318,Isoletta,Feasibility Study of Aerocapture at Mars with an Innovative Deployable Heat Shield,2021,Journal,Journal of Spacecraft and Rockets,AIAA,Italy,Mars,Mars,University of Naples,Khalifa University of Science and Technology,N
319,S. W. Albert,Finite-Dimensional Density Representation for Aerocapture Uncertainty Quantification,2021,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,"University of Colorado, Boulder",NASA,N
320,A. Pradeepkumar Girija,"A SYSTEMS FRAMEWORK AND ANALYSIS TOOL FOR
RAPID CONCEPTUAL DESIGN OF AEROCAPTURE
MISSIONS",2021,Thesis,PhD Thesis,Purdue University,USA,"Venus, Earth, Mars, Titan, Uranus Neptune",Uranus,Purdue University,NASA,N
321,Daniel P. Lubey,Ice Giant Missions using Optical Navigation,2021,Conference,American Astronautical Society,AAS,USA,"Uranus, Neptune",Uranus,Jet Propulsion Lab,NASA,N
322,Charles L. Kelly,"Physics, Performance, and Applications of Plasma Aerocapture",2021,Thesis,PhD Thesis,University of Washington,USA,Neptune,Neptune,University of Washington,NASA,N
323,Qijia Yao,"Nonsingular Fixed-Time Tracking Guidance for
Mars Aerocapture with Neural Compensation",2021,Journal,"IEEE
Transactions on Aerospace and Electronic Systems",IEEE,China,Mars,Mars,Beijing Institute of Technology,Natural Science Foundation of China,N
324,E. Roelke,"Guidance Algorithm and Vehicle Architecture
Enhancements for Improved Discrete-Event,
Drag-Modulated Aerocapture",2021,Thesis,PhD Thesis,University of Colorado Boulder,USA,Venus,Venus,"University of Colorado, Boulder",NASA,N
325,R. G. Deshmukh,"SmallSat Aerocapture using a Generalized
Numerical Predictor Corrector Guidance
Architecture",2021,Conference,AIAA SciTech,AIAA,USA,"Venus, Earth, Mars, Titan, and
Neptune",Generic,Purdue University,NA,N
326,A. Ball,"The AMARETTO Concept Study
for an ESA Mars AerocaptuRe dEmonsTraTOr",2021,Conference,International Planetary Probe Workshop,IPPW,Netherlands,Mars,Mars,ESA ESTEC,ESA,N
327,E. Roelke,"Discrete-Event Drag-Modulated Guidance
Performance for Venus Aerocapture",2021,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Venus,Venus,"University of Colorado, Boulder",,
328,E. Venkatapathy,"Thermal Protection System to Enable Ice Giant Aerocapture Mission
for Delivering both an Orbiter and an in situ Probe.",2021,Journal,Bulletin of the American Astronomical Society,AAS,USA,Neptune,Neptune,NASA Ames Research Center,NASA,N
329,E. M. Zuchelli,Two-Stage Optimization for Aerocapture Guidance,2021,Conference,AIAA SciTech,AIAA,USA,Earth,Earth,University of Texas Austin,NA,N
330,Tang Qingyuan,"A Design Study of On-Board Adaptive
Predictor-Corrector Mars Aerocapture
Guidance",2022,Journal,"Advances in Guidance, Navigation and Control,",Springer,China,Mars,Mars,"Beijing Institute of Control Engineering,",National Key R&D Program of China,N
331,Giordano,"Aeroballistic Capture at Mars: Modeling, Optimization,
and Assessment",2022,Journal,Journal of Spacecraft and Rockets,AIAA,Italy,Mars,Mars,Politecnico di Milano,NA,N
332,IH Cihan,"Analytical Guidance for Mars Aerocapture via Drag
Modulation",2022,Journal,Journal of Astronautical Sciences,AAS,Turkey,Mars,Mars,Tarsus University,NA,N
333,ER Burnett,"A NEW GUIDANCE TECHNIQUE FOR DISCRETE-EVENT DRAG
MODULATION FOR AEROCAPTURE MISSIONS",2022,Conference,American Astronautical Society,AAS,USA,Earth,Earth,"University of Colorado, Boulder",NASA,N
334,Pineros,"Applying the perturbative integral
in aeromaneuvers around Mars
to calculate the cost",2022,Journal,Nature Scientific Reports,Nature,Brazil,Mars,Mars,Institute of Science and Technology  Brazil.,National Institute for Space Research,N
335,S. W. Albert,Co-Delivery of Multiple Small Probes to the Martian Surface,2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,"University of Colorado, Boulder",NASA,N
336,Januel V. Carberra,"Dispersion Analysis of Small Satellite Aerocapture at Mars
Using a Conceptual Morphable Entry System",2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,Purdue University,NA,N
337,A. Pradeepkumar Girija,Drag Modulation Aerocapture Enabled Small Satellite Constellation Concepts for Mars and Venus,2022,Conference,International Planetary Probe Workshop,IPPW,USA,"Mars, Venus",Mars,Purdue University,NA,N
338,R. G. Deshmukh,Flight control methodologies for Neptune aerocapture trajectories,2022,Journal,Acta Astronautica,Elsevier,USA,Neptune,Neptune,NASA Langley Research Center,NA,N
339,S. W. Albert,"Flight Mechanics Feasibility Assessment for Co-Delivery
of Direct-Entry Probe and Aerocapture Orbiter",2022,Journal,Journal of Spacecraft and Rockets,AIAA,USA,"Earth, Mars, Venus, Titan, and Neptune",Generic,"University of Colorado, Boulder",NA,N
340,Michela Gramola,"Hypersonic foldable Aeroshell for THermal protection using
ORigami (HATHOR): aerothermal analysis",2022,Conference,AIAA SciTech,AIAA,UK,Mars,Mars,"Imperial College, London",Imperial College London’s Excellence Fund for Frontier Research,N
341,KT Nock,"Landing on Pluto from a Fast, Hyperbolic
Trajectory",2022,Conference,AIAA SciTech,AIAA,USA,Pluto,Generic,Aerospace Corporation,NASA,N
342,Jack Ridderhoff,"Linear Covariance Analysis of Entry and Aerocapture
Trajectories in an Uncertain Atmosphere",2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,Georgia Institute of Technology,NASA,N
343,Geoffrey Landis,"Mission Incredible:
A Titan Sample Return Using In-Situ
Propellants",2022,Conference,AIAA SciTech,AIAA,USA,Titan,Titan,NASA Glenn Research Center,NASA,N
344,E. Roelke,"Multi-Event Jettison Guidance Approaches for
Drag-Modulation Aerocapture",2022,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Venus,Venus,"University of Colorado, Boulder",MIT,N
345,R. W. Moses,"New Magnetohydrodynamic (MHD) Lift Concept for
More Efficient Missions to Mars and Neptune",2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,NASA Langley Research Center,NASA,N
346,A. Pradeepkumar Girija,"Quantitative Assessment of Aerocapture and Applications
to Future Solar System Exploration",2022,Journal,Journal of Spacecraft and Rockets,AIAA,USA,"Earth, Mars, Venus, Titan, Uranus, and Neptune",Uranus,Purdue University,NA,N
347,Hongqiang Sun,"Skip Re-Entry Trajectory Detection in Aero-
Assisted Orbit Transfer",2022,Conference,AIAA SciTech,AIAA,China,Earth,Earth,Beihang University,NA,N
348,M. J. Grace,"Two-Stage Polynomial Chaos Expansion: An Extension of
Uncertainty Quantification Techniques for Multi-Modal
Distributions in Aerocapture",2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,"University of Colorado, Boulder",NA,N
349,Casey R. Heidrich,"Optimal Information Filtering for Robust Aerocapture Trajectory
Generation and Guidance",2022,Journal,Journal of Spacecraft and Rockets,AIAA,USA,Mars,Mars,"University of Colorado, Boulder",NASA,N
350,Joshua Geiser,Optimal Angle of Attack Control for Aerocapture Maneuvers,2022,Conference,AIAA SciTech,AIAA,USA,Mars,Mars,NASA Johnson Space Center,NA,N
